야식	a late-night snack
~가 맡고 있는	in one's care
꼭 봐야 할 명소	must-see attraction
무료 재예약	complimentary rebooking
체험형 워크숍	hands-on workshop
문득 든 생각	a random thought
1부터 10(점)의 척도에서	on a scale of 1 to 10
전시된 사진들	pictures on display
자연광	natural lighting
반려동물 동반 숙소	pet-friendly accommodation
체험형 전시	an interactive exhibit
360도 전망	360-degree views
~을 사전에 예매하다	book - in advance
버킷리스트 항목을 이루다	check items off a bucket list
옥상 전망대	a rooftop observatory
안내문	a reminder notice
숨 막히게 아름다운 풍경	breathtaking scenery
세계적인 공연	world-class performance
현지의 진짜 분위기	authentic local vibe
아늑한 분위기	cozy atmosphere
행정실	administration office
강의 관리자	course administrator
지원 절차	application process
등록 링크	registration link
교류 대학, 자매 대학	partner university
학자금 지원	financial aid
학점 인정, 학점 이수 전환	transfer credits
추천서	letters of recommendation
수강 정원	enrollment capacity
학생 지원처	student affairs office
학사 일정표	academic calendar
수강을 철회하다	withdraw from a course
이수해야 할 과목	pending courses
출석 요건	attendance requirement
졸업 요건	graduation requirements
성적 이의 신청	grade appeals
학사 경고	academic probation
강의 녹화	lecture recording
보조 학습자료	supplementary materials
토론 게시판	discussion board
상담 시간, 면담 시간	office hours
학업 성적, 학업 성과	academic performance
참고 자료	reference materials
수업 유인물	course handouts
수정판, 개정판	revised version
표절 검사	plagiarism check
~에 대한 벌칙, ~에 대한 제재	penalty for ~
필수 읽기 자료	required readings
과제를 다시 제출하다	resubmit an assignment
공부할 장소	study spots
개방형 좌석 공간	open seating area
와이파이 이용	Wi-Fi access
갱신 요청	renewal request
지정 좌석	reserved seating
시설 이용	facility access
개관 시간, 운영 시간	opening hours
대출 규정 ↔ 반납 규정	borrowing policy ↔ return policy
대형 강의실	lecture hall
허가증, 이용 허가	a permit
인턴(십) 기회	internship opportunity
동문 네트워킹	alumni networking
멘토링 프로그램	mentoring program
채용 설명회	recruitment session
음향 장비	audio equipment
초청 연사	guest speaker
패널 토론	panel discussion
채용 담당자	job recruiter
필수 능력	required skills
생산성 도구	productivity tools
기술 개발, 능력 향상	skills development
관련 경험	relevant experience
초대장을 발송하다	send out invitations
장식을 설치하다	set up decorations
다른 날로 (일정을) 변경하다	reschedule for another day
매력적인 발표 진행	engaging delivery
매끄러운 전환	smooth transition
~을 뒷받침하다	back - up
기본 규칙을 정하다	set ground rules
지속적인 문제	persistent issue
로딩 페이지	a loading page
긴급한 주의, 즉각적인 관심	urgent attention
설득력 있는 어조	persuasive tone
시간 관리	time management
질의응답 시간	question-and-answer session
기술적 문제	technical issue
청중 참여	audience engagement
발표를 리허설하다	rehearse a presentation
나올 수 있는 질문을 예상하다	anticipate possible questions
핵심 내용을 강조하다	highlight key points
시선(눈 맞춤)을 유지하다	maintain eye contact
명확한 발음 [표현]	clear articulation
요점을 분명히 하다	clarify a point
설득력 있는 어조 [말투]	a persuasive tone
결론을 내리다	draw a conclusion
세부 사항을 완전히 이해하다	absorb the details
핵심 요점	key takeaways
팀원을 언급하다 [인정하다]	acknowledge team members
참고 문헌을 제시하다	provide references
활발한 토론	lively discussion
팀 친목 활동	team bonding activity
회원비, 회비	membership fee
동아리 규약	club constitution
연례 공연 [발표회]	annual showcase
학생회	student association
캠퍼스 투어	a campus tour
헌장, 규약	a charter
동아리 회장/부회장	club president / vice president
학과장	the Department Chair
총회	general assembly
지역 사회 봉사 활동	community outreach
홍보 캠페인	publicity campaign
온라인 홍보	online promotion
후원 요청	sponsorship request
~와의 협력	collaboration with ~
학기 말	end-of-semester
송별회	farewell party
동문 초청 행사	homecoming event
공개 행사	open house
여자/남자 전용 기숙사	all-female/all-male dorm
사감, 기숙사 지도 교사	resident advisor
공용 화장실	communal bathroom
급식, 정액제 식사 이용 제도	meal plan
외부인 숙박 규정	overnight guest policy
우연히 마주치다 [발견하다]	stumble upon
기숙사를 신청하다	apply for housing
방 배정	room assignment
룸메이트	roommate/dormmate
방 점검	room inspection
입사일, 기숙사 입주일	move-in day
기숙사 규정 위반	housing violation
통금 시간	curfew hours
안전 점검	safety inspection
번갈아 ~(을) 하다	take turns -ing
쓰레기 처리	trash disposal
위생 문제	hygiene problem
지저분한 환경	messy environment
보안 문제	security concern
분실된 열쇠	lost key
도난 신고	theft report
소음 차단 헤드폰	noise-canceling headphones
~으로 [~에 대해] 갈등하다	have a conflict over ~
향수병을 느끼다	feel homesick
기숙사 생활에 적응하다	adjust to dorm life
공동생활	communal living
문제 해결 능력	problem-solving ability
창의성 향상	creativity enhancement
성취감	sense of accomplishment
학습 불안	learning anxiety
더 강한 회복 탄력성	greater resilience
공감 능력 형성	empathy building
문화적 인식	cultural awareness
글로벌 역량	global competence
성숙 과정	the maturation process
인생에서 가장 중요한 시기	the most important stage of one's life
잠재력을 깨닫다	realize one's potential
체육	physical education
적성 검사	an aptitude test
발표 수업	speech classes
대안교육	alternative education
학업 과정	academic programs
평가 기준	assessment criteria
입학 요건	requirements for admission
초등교육	elementary education
중등교육	secondary education
고등교육	higher education
의무 교육	compulsory education
갭이어	a gap year
특성화 교육	specialized education
학습자 중심의 교육	student-centered learning
야외 활동	outdoor activities
현장 학습	a field trip
정규 교육	formal schooling
양질의 교육	a quality education
교육적인 혜택	an educational benefit
다방면에 걸친 교육	a well-rounded education
교육 격차를 해소하다	bridge the educational gap
저소득층 학생	underprivileged student
실험하다	do experiments
~을 전공하다	specialize in ~
대학을 갓 졸업한	fresh out of university
유용한 기술을 배우다	learn valuable skills
개별적인 관심	individualized attention
학습에 대한 열정	passion for learning
심한 경쟁	heavy competition
경쟁력을 높이다	enhance competitiveness
잘못된 생각	misguided belief
타협하다	make compromises
뒤처지다	fall behind
~에 대한 인식을 높이다	raise awareness of ~
세계 시민 의식을 기르다	cultivate global awareness
긍정적인 자아상을 형성하다	develop a positive self-image
잘 연마된	well-cultivated
심층 연구	in-depth research
협동심을 기르다	build teamwork
심하게 다그치다, 독려하다	push hard
~으로부터 주의를 돌리다	divert one's attention from ~
원격 학습	remote learning
(컴퓨터를 이용한) 가상 수업	virtual classes
디지털 활용 능력	digital literacy
학위를 따다	earn a degree
등록금 지원	tuition assistance
시행착오	trial and error
많은 분야에서 뛰어나다	excel in many areas
국제적 기반 위에	on an international basis
다른 의견을 가지다	hold a different opinion
잘 고안된 제도	well-designed system
외교 정책	foreign policy
선거일	Election Day
대통령제	presidential system
의원내각제	parliamentary system
언론의 자유	freedom of speech
시민 참여	civic engagement
공정한 선거 제도	fair election system
투표 연령	voting age
세금 경감	tax relief
세금 우대 혜택을 제공하다	give a tax break
주간 노동 시간	workweek
빈곤을 근절하다	eliminate poverty
~을 상대로 소송을 걸다	file a suit against ~
국제기관	international agency
동맹을 맺다	build an alliance
견제와 균형	checks and balances
세계 평화에 기여하다	contribute to world peace
정치적 안정	political stability
정치 상황	a political situation
깊이 뿌리박힌 편견	a deep-rooted prejudice
지역 사회의 번영	a community's prosperity
국제적 차원에서	on a global scale
나라마다 다르다	vary from country to country
국가적 특징	national characteristics
공인	public figures
노인	senior citizens
물려주다	hand down
젊은 세대	the younger generation
세대 차이	the generation gap
미래 세대	future generations
특권을 남용하다	abuse the privilege
일반 대중	the general public
여론을 조사하다	poll the public
여론에 호소하다	appeal to public opinion
협동심	feelings of cooperation
일체감	a sense of unity
소속감	a sense of belonging
공동체 유대	community bonds
상호 신뢰	mutual trust
인접 지역	a neighboring community
외딴 지역	a remote region
소수 민족 집단	ethnic minority groups
문명화된 사회	civilized society
빠르게 움직이는 세상	a fast-paced world
늘 변화하는 세상	an ever-changing world
지도자의 책임	leader's responsibility
지도력	leadership skills
사회적 진보	social progress
사교 모임	a social gathering
사회적 규범	social norms
노숙자 수용 시설	a homeless shelter
인구 증가	population growth / a population increase
국가 기반 시설	the country's infrastructure
사회 보장 제도	the social security system
국민의 복지를 증진하다	promote the public welfare
공무원	a civil servant
국가 정체성	national identity
정책을 시행하다	carry out a policy
부패와 맞서다	fight against corruption
공공시설	public facilities
사기를 북돋우다	boost morale
공통점	common ground
권리를 침해하다	violate a right
유행이 되다	be a growing trend
엄격한 규칙을 부과하다	impose strict rules
윤리 기준을 유지하다	uphold ethical standards
논란을 불러일으키다	provoke controversy
~에 대한 금지	ban on ~
사생활을 침해하다	invade one's privacy
활기찬 주변 환경을 만들다	create a vibrant neighborhood
좋은 모범이 되다	set a good example
상호 교류 기술	interpersonal skills
대화 기술	conversational skills
~와 연락하다	get in touch with ~
공통 관심사를 공유하다	share common interests
감당할 수 있는 가격의 주택	affordable housing
주택 부족	housing shortage
통근 시간이 많이 걸리다	have a long commute
냉동식품	frozen food
균형 잡힌 식단	a well-balanced diet
건강에 좋은 음식	healthy food
좋아하는 요리	a favorite dish
중요한 영양소	valuable nutrition
성분, 재료	ingredient
지방 함량과 열량이 높은	high in fat and calories
비만과 싸우다	combat obesity
비위생적인	unsanitary
외국 음식	foreign cuisine
맛있는 음식을 즐기다	enjoy a delicious meal
적절하게 영양이 공급된	properly nourished
필요한 영양소가 결여되다	lack necessary nutrients
식단을 계획하다	plan meals
식료품 구매, 장보기	grocery shopping
음식을 배달시키다	get food delivered
음식 가판대	food stands
의료 시설	medical facilities
최신 의약품	cutting-edge medicine
항생제	antibiotics
의학 기술	medical technology
공중보건	public health
병이 나다	get sick
공공장소에서의 흡연	smoking in public
간접흡연	secondhand smoke
담배 연기	cigarette smoke
비흡연자	non-smoker
나쁜 시력	poor eyesight
고혈압	high blood pressure
심장 마비	a heart attack
상처로부터 생긴 감염	an infection from a cut
약물 중독	(a) drug addiction
만성 질병	chronic disease
전염병	infectious disease
위급한 상태	critical condition
건강에 위협이 되는 요소들	health risks
신체의 건강	physical fitness
평생의 건강	lifelong physical health
스트레스를 해소하다	relieve stress / release stress
매일의 운동	daily exercise
신체적 능력	physical ability
신체 훈련	physical training
치명적인 사고	a fatal accident
장애인	handicapped people / disabled people
환경 보존	environmental conservation
환경친화적인 정책	environmentally friendly policy
생태계를 보호하다	preserve the ecosystem
개발되지 않은 땅	untouched land / undeveloped land
토지 황폐화	land degradation
천연자원	natural resources
재생되지 않는 자원	a non-renewable resource
환경 파괴	environmental destruction
지구 온난화	global warming
공장 폐기물	factory waste
기업의 쓰레기 투기	corporate dumping
악순환	a vicious cycle
운송 시스템	transportation systems
평화롭고 건전한 환경	a peaceful and healthy environment
범죄 예방	crime prevention
교통 체증을 완화하다	ease traffic congestion
교통 정체에 갇히다	be stuck in traffic
부산물	a by-product
세심한 결정	a careful decision
장기적인 영향	long-term effect
멸종 위기종	endangered species
재생 가능한 에너지	renewable energy
에너지 효율적인	energy-efficient
친환경 기술	green technology
환경세	environmental tax
문제를 처리하다	address issues
낭비를 줄이다	reduce waste
생물 다양성 손실	biodiversity loss
물을 절약하다	conserve water
~에 관여하다	get involved in ~
지속 가능한 발전	sustainable development
가정 쓰레기	residential waste
대체 에너지	alternative energy
자원 고갈	resource depletion
화석 연료	fossil fuel
삼림 벌채	deforestation
전기 자동차	an electric car
정당화할 수 있는 이유	a justifiable reason
지각, 자각	a sense of awareness
책임감	a sense of responsibility
책임감 있게 행동하다	act responsibly
돌이킬 수 없는 손상	irreparable damage
조치를 취하다	take steps
녹지를 조성하다	create green spaces
담수 공급	freshwater supply
자전거 전용도로	dedicated bicycle lanes
~을 차별화하다	set - apart
정보의 원천	a source of information
브랜드 인지도	brand awareness
~에 책임이 있는	responsible for ~
자료를 수집하다	collect data
긴박감	a sense of urgency
물질주의	materialism
가능성을 높이다	increase the likelihood
구매 결정	purchase decision
구매 행동	buying behavior
충동구매	impulsive buying
홍보 활동	public relations
허위 광고	a misleading advertisement
설득력 있는 언어	persuasive language
중독성 있는 슬로건	catchy slogan
여론을 형성하다	shape public opinion
고객 관계 관리	customer relationship management
~을 좋아하다	go for ~
상업 목적	commercial purpose
입소문	word of mouth
소비자 행동	consumer behavior
사생활 침해	invasion of privacy
~보다 앞서 있다	stay ahead of ~
인기를 얻다	gain popularity
올바른 결정을 내리다	make correct decisions
요구에 부합하다, 수요를 맞추다	meet demand
결론에 도달하다	reach a conclusion
목표에 도달하다	reach one's goal
문제로부터 멀리 떨어져 있다	stay out of trouble
행동을 취하다	take action
신중하게	with discretion
신뢰도, 신뢰성	reliability
무분별한 태도로	in an irrational manner
높은 목표를 세우다	set a high goal
비판적으로 생각하다	think critically
시간 엄수	punctuality
안심하다	feel secure
우선순위를 정하다	set priorities
주의를 끌다	draw one's attention
긍정적인 시각 ↔ 부정적인 시각	optimistic view ↔ pessimistic view
인간 본성	human nature
근시안적인 접근	a short-sighted approach
문화적인 활동	a cultural activity
체험형 전시	hands-on exhibits
라이브 공연	a live performance
영화 애호가	a moviegoer
예술을 감상하다	appreciate art
대중음악	popular music
대중매체	mass media
여흥을 즐길 수 있는 장소	entertainment venues
텔레비전 앞에 달라붙어 있다	glue oneself to the television set
몰아서 보다	binge-watch
지속 가능한 패션	sustainable fashion
복장 규칙	a dress code
미술관	an art gallery
여가 활동	leisure activities
예술적 창의력	artistic creativity
미적 감각을 기르다	develop aesthetic appreciation
진부한 표현	a cliché
종교적 박해	religious persecution
저작권 분쟁	property disagreement
휴양지	recreational areas
기념품	souvenir
지역성	regional identity
문화 동화	cultural assimilation
문화 간 이해	intercultural understanding
최신 도구	the latest gadget
최신 경향	the latest trend
무선 인터넷	mobile Internet
온라인 콘텐츠	online content
온라인 모임	online community
가상 현실	virtual reality (VR)
취소 문화	cancel culture
파일 공유	file sharing
자동화된 프로그램	computerized programs
전문적이고 과학적인 용어	technical and scientific terms
통계 분석	statistical analysis
우주 위성	a space satellite
무선 통신	wireless communications
핵무기	a nuclear weapon
과학적 발견	a scientific discovery
기술 발전	technological advancements
기술 혁신	technological innovation
기술의 기적	a technological miracle
상승과 하강, 좋은 시절과 힘든 시절	ups and downs
중요한 발전	a significant breakthrough
시간 소모적인 과정	a time-consuming process
필수적인 부분을 구성하다	form an integral part
투자할 만한 가치가 있는	worth the investment
지역 예술가를 지원하다	support local artists
해외 투자를 유치하다	attract foreign investment
특허권을 갖다	hold a patent
유전자 조작(변형)	genetic modification
~으로 교체되다	be replaced with ~
자동화	automation
자율 주행 차량	autonomous vehicle
사이버 범죄	cybercrime
윤리적 고려 사항	ethical considerations
디지털 격차	the digital divide
기술에 대한 지나친 의존	overdependence on technology
안면 인식 기술	facial recognition technology
어려움을 극복하다	surmount difficulties
유전 공학	genetic engineering
주택 문제	a housing problem
가구, 생활 용품	a living arrangement
연대기 순으로	in chronological order
구식이 되다, 진부하게 되다	become obsolete
노동 시장	the labor market
업계 선두	the market leader
시장의 수요	market demand
자유시장 체제	a free market system
유망한 직업	a promising job
평생 고용	lifetime employment / lifelong employment
경력 준비	career readiness
스타트업, 신생 기업	a start-up company
일과 삶의 균형	a work-life balance
삶의 질	quality of life
직업적 성취, 만족	career fulfillment
근무 환경	work environment
직무 성과	job performance
직업 요구 조건	a job requirement
직업 안정성	job security
높은 임금 ↔ 낮은 임금	high wage ↔ low wage
고소득 직업	well-paying job / high-paying job
전문적인 업무	professional tasks
번창하는 사업	a prosperous business
대량 생산	mass production
기업 규모 축소, 직원 감축	company downsizing
사업주, 경영주	a business owner
예산 삭감	budget cutbacks
금전적 수입	a monetary gain
생활비	the cost of living / living expenses
생계비를 벌다	earn one's living
비용 효율적인 체계	cost-effective system
소매 가격	retail price
공공 재산	public property
지역 사업	local business
지역 경제에 영향을 미치다	affect local economies
정부 보조금	a government subsidy
유지 비용	maintenance costs
구호 자금	a relief fund
가치 있는 자산	valuable assets
사업을 일으키다	get a business off the ground
이익을 거두다	reap the benefits
용돈을 저축하다	save (up) one's allowance
전액 환불받다	get a complete refund
비용만큼 가치가 있다	worth the cost
근무 중인	on duty
소비 습관	spending habits
돈에 의해 좌우되는	money-driven
광고 수익	advertising revenue
정규직	a full-time position
강한 직업 윤리	a strong work ethic
아르바이트를 하다	work a part-time job
경기 침체	slow economy
생산성을 저하시키다	discourage productivity
승진	a promotion
세계적인 기업	a global company
일에 대한 헌신	commitment to a job
더 큰 수입을 창출하다	generate more income
근근이 살아가다	make ends meet
더 높은 가격을 부과하다	charge higher prices
공공요금	utility bills
수요가 매우 높다	be in great demand
경제 성장을 촉진하다	foster economic growth
금전 거래	a monetary transaction
전자상거래 플랫폼	e-commerce platform
세계 자본주의	global capitalism
재정 상태	a financial situation
재정 안정	financial stability
경력을 쌓다	build (up) a career
~의 시야를 넓히다	develop one's perspective
이직률을 낮추다	reduce turnover
수익성이 좋은 사업	a lucrative business
